,A�o,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
443,2017,Real Madrid,Cristiano Ronaldo,Portugal,32,Extremo izquierdo
444,2017,Real Madrid,Karim Benzema,Francia,29,Delantero centro
445,2017,Real Madrid,Álvaro Morata,España,24,Delantero centro
446,2017,Juventus,Neto,Brasil,27,Portero
447,2017,Juventus,Gianluigi Buffon ,Italia,39,Portero
448,2017,Juventus,Emil Audero,Italia,20,Portero
449,2017,Juventus,Mattia Del Favero,Italia,19,Portero
450,2017,Juventus,Leonardo Loria,Italia,18,Portero
451,2017,Juventus,Leonardo Bonucci,Italia,30,Defensa central 
452,2017,Juventus,Daniele Rugani,Italia,22,Defensa central 
453,2017,Juventus,Medhi Benatia,Marruecos,30,Defensa central 
454,2017,Juventus,Giorgio Chiellini,Italia,32,Defensa central 
455,2017,Juventus,Luca Marrone,Italia,27,Defensa central 
456,2017,Juventus,Andrea Barzagli,Italia,36,Defensa central 
457,2017,Juventus,Luca Coccolo,Italia,19,Defensa central 
458,2017,Juventus,Mattias Andersson,Suecia,19,Defensa central 
459,2017,Juventus,Alex Sandro,Brasil,26,Lateral izquierdo
460,2017,Juventus,Patrice Evra,Francia,36,Lateral izquierdo
461,2017,Juventus,Paolo De Ceglie,Italia,30,Lateral izquierdo
462,2017,Juventus,Dani Alves,Brasil,34,Lateral derecho
463,2017,Juventus,Stephan Lichtsteiner,Suiza,33,Lateral derecho
464,2017,Juventus,Federico Mattiello,Italia,21,Lateral derecho
465,2017,Juventus,Alessandro Semprini,Italia,22,Lateral derecho
466,2017,Juventus,Tomás Rincón,Venezuela,29,Mediocampista defensivo
467,2017,Juventus,Mario Lemina,Gabón,23,Mediocampista defensivo
468,2017,Juventus,Rolando Mandragora,Italia,20,Mediocampista defensivo
469,2017,Juventus,Miralem Pjanic,Bosnia,27,Mediocampista
470,2017,Juventus,Sami Khedira,Alemania,30,Mediocampista
471,2017,Juventus,Claudio Marchisio,Italia,31,Mediocampista
472,2017,Juventus,Stefano Sturaro,Italia,24,Mediocampista
473,2017,Juventus,Simone Muratore,Italia,19,Mediocampista
474,2017,Juventus,Juan Cuadrado,Colombia,29,Extremo derecho
475,2017,Juventus,Kwadwo Asamoah,Ghana,28,Extremo izquierdo
476,2017,Juventus,Hernanes,Brasil,32,Mediocampista ofensivo
