Año,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
2017,Juventus,Miralem Pjanic,Bosnia,27,Mediocampista
2017,Juventus,Sami Khedira,Alemania,30,Mediocampista
2017,Juventus,Claudio Marchisio,Italia,31,Mediocampista
2017,Juventus,Stefano Sturaro,Italia,24,Mediocampista
2017,Juventus,Simone Muratore,Italia,19,Mediocampista
2017,Juventus,Juan Cuadrado,Colombia,29,Extremo derecho
2017,Juventus,Kwadwo Asamoah,Ghana,28,Extremo izquierdo
2017,Juventus,Hernanes,Brasil,32,Mediocampista ofensivo
2017,Juventus,Marko Pjaca,Croacia,22,Extremo izquierdo
2017,Juventus,Mehdi Léris,Argelia,19,Extremo derecho
2017,Juventus,Paulo Dybala,Argentina,23,Mediocampista ofensivo
2017,Juventus,Gonzalo Higuaín ,Argentina,29,Delantero centro
2017,Juventus,Mario Mandžuki?,Croacia,31,Delantero centro
2017,Juventus,Simone Zaza,Italia,26,Delantero centro
2017,Juventus,Moise Kean,Italia,17,Delantero centro
2018,Real Madrid,Keylor Navas,Costa Rica,31,Portero
2018,Real Madrid,Kiko Casilla,España,31,Portero
2018,Real Madrid,Moha Ramos,España,18,Portero
2018,Real Madrid,Luca Zidane,Francia,20,Portero
2018,Real Madrid,Sergio Ramos,España,32,Defensa central 
2018,Real Madrid,Raphaël Varane ,Francia,25,Defensa central 
2018,Real Madrid,Theo Hernández,Francia,20,Lateral izquierdo
2018,Real Madrid,Jesús Vallejo,España,21,Defensa central 
2018,Real Madrid,Nacho Fernández,España,28,Defensa central 
2018,Real Madrid,Marcelo,Brasil,30,Lateral izquierdo
2018,Real Madrid,Luismi Quezada,Republica Dominicana,22,Lateral izquierdo
2018,Real Madrid,Daniel Carvajal,España,26,Lateral derecho
2018,Real Madrid,Lucas Vázquez,España,26,Lateral derecho
2018,Real Madrid,Achraf Hakimi,Marruecos,19,Lateral derecho
2018,Real Madrid,Álvaro Tejero,España,21,Lateral derecho
2018,Real Madrid,Casemiro,Brasil,26,Mediocampista defensivo
2018,Real Madrid,Toni Kroos,Alemania,28,Mediocampista
2018,Real Madrid,Luka Modric,Croacia,32,Mediocampista
2018,Real Madrid,Mateo Kovacic,Croacia,24,Mediocampista
2018,Real Madrid,Marcos Llorente,España,23,Mediocampista defensivo
2018,Real Madrid,Oscar Rodríguez,España,20,Mediocampista ofensivo
2018,Real Madrid,Isco,España,26,Mediocampista ofensivo
2018,Real Madrid,Dani Ceballos,España,21,Mediocampista
2018,Real Madrid,Franchu,Argentina,20,Extremo derecho
